workstation,analysis_id,analysis_date,synchronization_date,sample_code,classified_seeds,variety,percent,result_id
Dunolly,741,2025-02-26T13:56:47Z,2025-02-26T02:57:40Z,GTAMix11,321,La Trobe,46,2
Dunolly,742,2025-02-26T14:09:45Z,2025-02-26T03:10:45Z,GTAMix12,272,Planet,52,1
Dunolly,742,2025-02-26T14:09:45Z,2025-02-26T03:10:45Z,GTAMix12,272,Spartacus CL,48,2
Dunolly,732,2025-02-26T11:47:54Z,2025-02-26T00:49:05Z,GTAMix2,338,Planet,87,1
Dunolly,732,2025-02-26T11:47:54Z,2025-02-26T00:49:05Z,GTAMix2,338,Bass,13,2
Dunolly,735,2025-02-26T12:11:52Z,2025-02-26T01:12:45Z,GTAMix3,267,Spartacus CL,78,1
Dunolly,735,2025-02-26T12:11:52Z,2025-02-26T01:12:45Z,GTAMix3,267,Bass,22,2
Dunolly,733,2025-02-26T11:55:37Z,2025-02-26T00:56:28Z,GTAMix4,332,La Trobe,85,1
Dunolly,733,2025-02-26T11:55:37Z,2025-02-26T00:56:28Z,GTAMix4,332,Maximus CL,15,2
Dunolly,734,2025-02-26T12:03:54Z,2025-02-26T01:04:51Z,GTAMix5,322,La Trobe,77,1
Dunolly,734,2025-02-26T12:03:54Z,2025-02-26T01:04:51Z,GTAMix5,322,Planet,23,2
Dunolly,736,2025-02-26T12:20:57Z,2025-02-26T01:21:43Z,GTAMix6,284,Maximus CL,72,1
Dunolly,736,2025-02-26T12:20:57Z,2025-02-26T01:21:43Z,GTAMix6,284,Planet,28,2
Dunolly,737,2025-02-26T12:28:53Z,2025-02-26T01:30:05Z,GTAMix7,291,Spartacus CL,66,1
Dunolly,737,2025-02-26T12:28:53Z,2025-02-26T01:30:05Z,GTAMix7,291,Planet,34,2
Dunolly,739,2025-02-26T13:35:13Z,2025-02-26T02:36:05Z,GTAMix8,293,Planet,74,1
Dunolly,739,2025-02-26T13:35:13Z,2025-02-26T02:36:05Z,GTAMix8,293,Maximus CL,26,2
Dunolly,738,NA,NA,GTAMix9,343,Bass,60,1
Dunolly,738,NA,NA,GTAMix9,343,La Trobe,39,2
Dunolly,743,2025-02-26T14:14:18Z,2025-02-26T03:15:28Z,GTAPure1,302,Bass,100,1
Dunolly,753,2025-02-26T15:46:26Z,2025-02-26T04:47:12Z,GTAPure10,286,Maximus CL,100,1
Dunolly,754,2025-02-26T15:50:03Z,2025-02-26T04:50:54Z,GTAPure11,259,Commodus CL,100,1
Dunolly,752,2025-02-26T15:42:25Z,2025-02-26T04:43:31Z,GTAPure12,211,Spartacus CL,100,1
Dunolly,744,2025-02-26T14:23:36Z,2025-02-26T03:24:53Z,GTAPure2,342,La Trobe,100,1
Dunolly,745,2025-02-26T00:00:00Z,2025-02-26T00:00:00Z,GTAPure3,246,Maximus CL,99,1
Dunolly,745,2025-02-26T00:00:00Z,2025-02-26T00:00:00Z,GTAPure3,246,La Trobe,1,2
Dunolly,746,2025-02-26T00:00:00Z,2025-02-26T00:00:00Z,GTAPure4,232,Commodus CL,100,1
Dunolly,747,2025-02-26T00:00:00Z,2025-02-26T00:00:00Z,GTAPure5,320,Spartacus CL,100,1
Dunolly,750,2025-02-26T15:21:20Z,2025-02-26T04:22:28Z,GTAPure6,322,Westminster,74,1
Dunolly,750,2025-02-26T15:21:20Z,2025-02-26T04:22:28Z,GTAPure6,322,Planet,26,2
Dunolly,748,2025-02-26T15:04:32Z,2025-02-26T04:05:40Z,GTAPure7,275,Planet,100,1
Dunolly,749,2025-02-26T15:09:48Z,2025-02-26T04:10:55Z,GTAPure8,308,Bass,100,1
Dunolly,751,2025-02-26T15:39:04Z,2025-02-26T04:40:21Z,GTAPure9,308,La Trobe,100,1
Manangatang,232,2025-02-26T11:29:00Z,2025-02-26T00:32:00Z,GTAMix1,275,Bass,87,1
Manangatang,232,2025-02-26T11:29:00Z,2025-02-26T00:32:00Z,GTAMix1,275,Maximus CL,12,2
Manangatang,241,2025-02-26T13:59:17Z,2025-02-26T03:00:19Z,GTAMix10,264,Maximus CL,64,1
Manangatang,241,2025-02-26T13:59:17Z,2025-02-26T03:00:19Z,GTAMix10,264,Bass,35,2
Manangatang,242,2025-02-26T14:09:03Z,2025-02-26T03:10:13Z,GTAMix11,293,Maximus CL,52,1
Manangatang,242,2025-02-26T14:09:03Z,2025-02-26T03:10:13Z,GTAMix11,293,La Trobe,48,2
Manangatang,243,2025-02-26T14:21:10Z,2025-02-26T03:26:43Z,GTAMix12,238,Planet,52,1
Manangatang,243,2025-02-26T14:21:10Z,2025-02-26T03:26:43Z,GTAMix12,238,Spartacus CL,48,2
Manangatang,233,2025-02-26T11:36:14Z,2025-02-26T00:40:40Z,GTAMix2,324,Planet,85,1
Manangatang,233,2025-02-26T11:36:14Z,2025-02-26T00:40:40Z,GTAMix2,324,Bass,15,2
Manangatang,234,2025-02-26T11:59:58Z,2025-02-26T01:01:11Z,GTAMix3,234,Spartacus CL,79,1
Manangatang,234,2025-02-26T11:59:58Z,2025-02-26T01:01:11Z,GTAMix3,234,Bass,21,2
Manangatang,235,2025-02-26T12:06:09Z,2025-02-26T01:10:38Z,GTAMix4,340,La Trobe,84,1
Manangatang,235,2025-02-26T12:06:09Z,2025-02-26T01:10:38Z,GTAMix4,340,Maximus CL,16,2
